accession,body_site,table_id,version,n_samples,n_taxa,status,ts
MGYS00003857,oral,ERP016748_taxonomy_abundances_SSU_v4.1.tsv,4.1,56,579,ok,2026-08-22T21:49:04
MGYS00006284,respiratory,ERP124751_taxonomy_abundances_SSU_v5.0.tsv,5.0,56,534,ok,2026-08-22T21:49:13
MGYS00002230,oral,SRP067603_taxonomy_abundances_SSU_v4.1.tsv,4.1,108,1442,ok,2026-08-22T21:49:14
MGYS00006321,respiratory,SRP039563_taxonomy_abundances_SSU_v5.0.tsv,5.0,56,303,ok,2026-08-22T21:49:15
MGYS00005516,stool,,,0,0,no_ssu_table,2026-08-22T21:49:16
MGYS00002418,stool,ERP106627_taxonomy_abundances_SSU_v4.1.tsv,4.1,283,156,ok,2026-08-22T21:49:16
MGYS00006822,stool,ERP148470_taxonomy_abundances_SSU_v5.0.tsv,5.0,55,201,ok,2026-08-22T21:50:13
MGYS00006448,respiratory,SRP397402_taxonomy_abundances_SSU_v5.0.tsv,5.0,55,573,ok,2026-08-22T21:50:14
MGYS00001420,stool,ERP013827_taxonomy_abundances_v3.0.tsv,3.0,215,425,ok,2026-08-22T21:50:15
MGYS00006436,respiratory,SRP067346_taxonomy_abundances_SSU_v5.0.tsv,5.0,54,437,ok,2026-08-22T21:50:16
MGYS00006017,oral,SRP330744_taxonomy_abundances_SSU_v5.0.tsv,5.0,53,501,ok,2026-08-22T21:50:17
MGYS00002480,stool,ERP106326_taxonomy_abundances_SSU_v4.1.tsv,4.1,53,1034,ok,2026-08-22T21:51:12
MGYS00002334,stool,ERP106364_taxonomy_abundances_SSU_v4.1.tsv,4.1,68,70,ok,2026-08-22T21:51:13
MGYS00006439,respiratory,SRP069223_taxonomy_abundances_SSU_v5.0.tsv,5.0,52,322,ok,2026-08-22T21:51:14
MGYS00002350,oral,DRP002428_taxonomy_abundances_SSU_v4.1.tsv,4.1,52,323,ok,2026-08-22T21:51:15
MGYS00006358,respiratory,SRP298878_taxonomy_abundances_SSU_v5.0.tsv,5.0,52,531,ok,2026-08-22T21:51:16
MGYS00002061,stool,ERP104235_taxonomy_abundances_SSU_v5.0.tsv,5.0,52,153,ok,2026-08-22T21:52:13
MGYS00005350,stool,,,0,0,no_ssu_table,2026-08-22T21:52:14
MGYS00006279,respiratory,ERP134414_taxonomy_abundances_SSU_v5.0.tsv,5.0,51,432,ok,2026-08-22T21:52:14
MGYS00002351,oral,DRP002429_taxonomy_abundances_SSU_v4.1.tsv,4.1,51,366,ok,2026-08-22T21:52:14
MGYS00006509,respiratory,SRP173779_taxonomy_abundances_SSU_v5.0.tsv,5.0,102,933,ok,2026-08-22T21:52:16
MGYS00006335,oral,SRP228286_taxonomy_abundances_SSU_v5.0.tsv,5.0,2,1,ok,2026-08-22T21:53:05
MGYS00006346,respiratory,SRP272470_taxonomy_abundances_SSU_v5.0.tsv,5.0,50,704,ok,2026-08-22T21:53:13
MGYS00006246,respiratory,ERP149135_taxonomy_abundances_SSU_v5.0.tsv,5.0,50,523,ok,2026-08-22T21:53:14
MGYS00002273,oral,SRP077498_taxonomy_abundances_SSU_v4.1.tsv,4.1,50,216,ok,2026-08-22T21:53:15
MGYS00006219,stool,ERP137776_taxonomy_abundances_SSU_v5.0.tsv,5.0,50,365,ok,2026-08-22T21:53:16
MGYS00006330,respiratory,SRP057949_taxonomy_abundances_SSU_v5.0.tsv,5.0,50,911,ok,2026-08-22T21:54:05
MGYS00001647,stool,DRP001277_taxonomy_abundances_v3.0.tsv,3.0,49,212,ok,2026-08-22T21:54:13
MGYS00006413,respiratory,SRP326134_taxonomy_abundances_SSU_v5.0.tsv,5.0,33,26,ok,2026-08-22T21:54:14
MGYS00002177,stool,SRP115612_taxonomy_abundances_SSU_v4.1.tsv,4.1,49,346,ok,2026-08-22T21:54:15
MGYS00006648,skin,ERP156480_taxonomy_abundances_SSU_v5.0.tsv,5.0,67,1510,ok,2026-08-22T21:54:16
MGYS00001648,respiratory,DRP003095_taxonomy_abundances_SSU_v5.0.tsv,5.0,49,372,ok,2026-08-22T21:55:04
MGYS00006331,respiratory,SRP060025_taxonomy_abundances_SSU_v5.0.tsv,5.0,48,661,ok,2026-08-22T21:55:13
MGYS00006636,oral,ERP150575_taxonomy_abundances_SSU_v5.0.tsv,5.0,48,240,ok,2026-08-22T21:55:14
MGYS00006394,stool,SRP347299_taxonomy_abundances_SSU_v5.0.tsv,5.0,47,249,ok,2026-08-22T21:55:15
MGYS00005423,skin,ERP115473_taxonomy_abundances_SSU_v4.1.tsv,4.1,47,203,ok,2026-08-22T21:55:16
MGYS00006221,stool,ERP122530_taxonomy_abundances_SSU_v5.0.tsv,5.0,46,511,ok,2026-08-22T21:56:04
MGYS00006323,respiratory,SRP040968_taxonomy_abundances_SSU_v5.0.tsv,5.0,46,127,ok,2026-08-22T21:56:12
MGYS00006526,respiratory,SRP214694_taxonomy_abundances_SSU_v5.0.tsv,5.0,46,298,ok,2026-08-22T21:56:13
MGYS00006397,respiratory,SRP354258_taxonomy_abundances_SSU_v5.0.tsv,5.0,46,1015,ok,2026-08-22T21:56:14
MGYS00006458,respiratory,SRP015882_taxonomy_abundances_SSU_v5.0.tsv,5.0,46,453,ok,2026-08-22T21:56:15
MGYS00005424,skin,,,0,0,no_ssu_table,2026-08-22T21:57:05
MGYS00002259,oral,SRP042281_taxonomy_abundances_SSU_v4.1.tsv,4.1,45,345,ok,2026-08-22T21:57:12
MGYS00006012,stool,DRP008009_taxonomy_abundances_SSU_v5.0.tsv,5.0,45,550,ok,2026-08-22T21:57:13
MGYS00002358,oral,DRP003845_taxonomy_abundances_SSU_v4.1.tsv,4.1,48,1898,ok,2026-08-22T21:57:14
MGYS00006628,urogenital,ERP138504_taxonomy_abundances_SSU_v5.0.tsv,5.0,45,76,ok,2026-08-22T21:57:15
MGYS00002232,oral,SRP103050_taxonomy_abundances_SSU_v4.1.tsv,4.1,88,1041,ok,2026-08-22T21:57:16
MGYS00000350,stool,ERP001956_taxonomy_abundances_v1.0.tsv,1.0,53,138,ok,2026-08-22T21:58:13
MGYS00006619,oral,ERP141706_taxonomy_abundances_SSU_v5.0.tsv,5.0,46,132,ok,2026-08-22T21:58:14
MGYS00001071,stool,SRP055567_taxonomy_abundances_v2.0.tsv,2.0,43,543,ok,2026-08-22T21:58:15
MGYS00002209,oral,DRP002300_taxonomy_abundances_SSU_v4.1.tsv,4.1,43,296,ok,2026-08-22T21:58:16
MGYS00006422,respiratory,SRP413524_taxonomy_abundances_SSU_v5.0.tsv,5.0,42,532,ok,2026-08-22T21:58:17
MGYS00006121,stool,ERP142200_taxonomy_abundances_SSU_v5.0.tsv,5.0,42,291,ok,2026-08-22T21:59:13
MGYS00001302,oral,SRP029257_taxonomy_abundances_v3.0.tsv,3.0,32,806,ok,2026-08-22T21:59:14
MGYS00000465,stool,ERP008951_taxonomy_abundances_v2.0.tsv,2.0,40,716,ok,2026-08-22T21:59:15
MGYS00002237,oral,SRP093358_taxonomy_abundances_SSU_v4.1.tsv,4.1,40,1240,ok,2026-08-22T21:59:16
MGYS00001863,urogenital,ERP023694_taxonomy_abundances_v3.0.tsv,3.0,40,119,ok,2026-08-22T21:59:17
MGYS00001099,stool,ERP009053_taxonomy_abundances_v2.0.tsv,2.0,40,286,ok,2026-08-22T22:12:44
MGYS00006824,stool,ERP147941_taxonomy_abundances_SSU_v5.0.tsv,5.0,40,194,ok,2026-08-22T22:12:45
MGYS00005425,stool,ERP114883_taxonomy_abundances_SSU_v4.1.tsv,4.1,40,121,ok,2026-08-22T22:12:46
MGYS00001901,stool,ERP024243_taxonomy_abundances_v3.0.tsv,3.0,40,598,ok,2026-08-22T22:12:47
MGYS00002272,oral,SRP073270_taxonomy_abundances_SSU_v4.1.tsv,4.1,40,351,ok,2026-08-22T22:12:47
MGYS00002266,oral,SRP051689_taxonomy_abundances_SSU_v4.1.tsv,4.1,39,274,ok,2026-08-22T22:13:42
MGYS00006332,respiratory,SRP064237_taxonomy_abundances_SSU_v5.0.tsv,5.0,39,379,ok,2026-08-22T22:13:43
MGYS00005426,stool,,,0,0,no_ssu_table,2026-08-22T22:13:44
MGYS00000943,urogenital,ERP008707_taxonomy_abundances_v2.0.tsv,2.0,39,141,ok,2026-08-22T22:13:45
MGYS00002246,oral,SRP020623_taxonomy_abundances_SSU_v4.1.tsv,4.1,58,511,ok,2026-08-22T22:13:47
MGYS00006507,respiratory,SRP168445_taxonomy_abundances_SSU_v5.0.tsv,5.0,38,327,ok,2026-08-22T22:14:43
MGYS00002263,oral,SRP047369_taxonomy_abundances_SSU_v4.1.tsv,4.1,38,1151,ok,2026-08-22T22:14:43
MGYS00000307,stool,ERP001706_taxonomy_abundances_v1.0.tsv,1.0,38,99,ok,2026-08-22T22:14:45
MGYS00002419,stool,ERP106644_taxonomy_abundances_SSU_v4.1.tsv,4.1,625,184,ok,2026-08-22T22:14:45
MGYS00006438,respiratory,SRP068430_taxonomy_abundances_SSU_v5.0.tsv,5.0,38,372,ok,2026-08-22T22:14:47
