accession,body_site,table_id,version,n_samples,n_taxa,status,ts
MGYS00005143,oral,SRP126946_taxonomy_abundances_SSU_v4.1.tsv,4.1,7402,3588,ok,2026-08-22T19:12:09
MGYS00005142,stool,,,0,0,download_failed,2026-08-22T19:12:17
MGYS00001679,stool,ERP015317_taxonomy_abundances_v3.0.tsv,3.0,3288,1241,ok,2026-08-22T19:12:38
MGYS00005138,respiratory,SRP056779_taxonomy_abundances_SSU_v4.1.tsv,4.1,3027,2780,ok,2026-08-22T19:12:39
MGYS00000604,skin,SRP002480_taxonomy_abundances_v2.0.tsv,2.0,4385,2740,ok,2026-08-22T19:13:12
MGYS00005196,urogenital,SRP115697_taxonomy_abundances_SSU_v4.1.tsv,4.1,2367,1855,ok,2026-08-22T19:13:20
MGYS00002355,oral,,,0,0,no_ssu_table,2026-08-22T19:13:21
MGYS00006551,stool,ERP152745_taxonomy_abundances_SSU_v5.0.tsv,5.0,2048,1048,ok,2026-08-22T19:13:23
MGYS00005190,stool,SRP136041_taxonomy_abundances_SSU_v4.1.tsv,4.1,17,532,ok,2026-08-22T19:13:39
MGYS00001070,urogenital,SRP026107_taxonomy_abundances_SSU_v4.1.tsv,4.1,1980,616,ok,2026-08-22T19:13:40
MGYS00005142,stool,,,0,0,download_failed,2026-08-22T19:14:33
MGYS00002355,oral,,,0,0,no_ssu_table,2026-08-22T19:14:55
MGYS00005147,stool,,,0,0,no_ssu_table,2026-08-22T19:14:55
MGYS00005222,urogenital,SRP159872_taxonomy_abundances_SSU_v4.1.tsv,4.1,1882,1778,ok,2026-08-22T19:14:55
MGYS00005192,stool,SRP119890_taxonomy_abundances_SSU_v4.1.tsv,4.1,1816,3515,ok,2026-08-22T19:15:13
MGYS00005199,urogenital,SRP156089_taxonomy_abundances_SSU_v4.1.tsv,4.1,1576,2068,ok,2026-08-22T19:15:40
MGYS00005142,stool,,,0,0,download_failed,2026-08-22T19:16:08
MGYS00002355,oral,,,0,0,no_ssu_table,2026-08-22T19:16:29
MGYS00005147,stool,,,0,0,no_ssu_table,2026-08-22T19:16:30
MGYS00005162,respiratory,SRP090592_taxonomy_abundances_SSU_v4.1.tsv,4.1,1222,2241,ok,2026-08-22T19:16:30
MGYS00000633,stool,SRP001634_taxonomy_abundances_SSU_v5.0.tsv,5.0,1073,1023,ok,2026-08-22T19:16:42
MGYS00005184,stool,ERP016515_taxonomy_abundances_SSU_v4.1.tsv,4.1,1557,1672,ok,2026-08-22T19:17:10
MGYS00005142,stool,,,0,0,download_failed,2026-08-22T19:17:32
MGYS00002355,oral,,,0,0,no_ssu_table,2026-08-22T19:17:54
MGYS00005147,stool,,,0,0,no_ssu_table,2026-08-22T19:17:54
MGYS00005191,stool,SRP125127_taxonomy_abundances_SSU_v4.1.tsv,4.1,1537,1449,ok,2026-08-22T19:17:54
MGYS00005172,skin,SRP113602_taxonomy_abundances_SSU_v4.1.tsv,4.1,1481,5013,ok,2026-08-22T19:18:11
MGYS00005224,respiratory,SRP163504_taxonomy_abundances_SSU_v4.1.tsv,4.1,1422,2273,ok,2026-08-22T19:18:35
MGYS00005173,stool,SRP124475_taxonomy_abundances_SSU_v4.1.tsv,4.1,1382,2234,ok,2026-08-22T19:18:37
MGYS00006638,respiratory,SRP351807_taxonomy_abundances_SSU_v5.0.tsv,5.0,1369,1533,ok,2026-08-22T19:18:47
MGYS00005197,oral,SRP128931_taxonomy_abundances_SSU_v4.1.tsv,4.1,1319,3250,ok,2026-08-22T19:18:55
MGYS00003733,stool,SRP096283_taxonomy_abundances_SSU_v4.1.tsv,4.1,2210,2751,ok,2026-08-22T19:19:11
MGYS00005225,stool,SRP165757_taxonomy_abundances_SSU_v4.1.tsv,4.1,1207,2560,ok,2026-08-22T19:19:35
MGYS00005128,stool,ERP117839_taxonomy_abundances_SSU_v4.1.tsv,4.1,1197,1959,ok,2026-08-22T19:19:37
MGYS00005202,stool,ERP111526_taxonomy_abundances_SSU_v5.0.tsv,5.0,1172,2281,ok,2026-08-22T19:19:47
MGYS00003481,stool,ERP108957_taxonomy_abundances_SSU_v4.1.tsv,4.1,2179,394,ok,2026-08-22T19:19:55
MGYS00005195,stool,SRP042023_taxonomy_abundances_SSU_v4.1.tsv,4.1,1049,1105,ok,2026-08-22T19:20:10
MGYS00003715,stool,ERP107577_taxonomy_abundances_SSU_v4.1.tsv,4.1,1004,3062,ok,2026-08-22T19:20:34
MGYS00002360,oral,ERP005150_taxonomy_abundances_SSU_v4.1.tsv,4.1,947,722,ok,2026-08-22T19:20:37
MGYS00005156,skin,ERP005152_taxonomy_abundances_SSU_v5.0.tsv,5.0,938,2400,ok,2026-08-22T19:20:47
MGYS00005230,stool,ERP005153_taxonomy_abundances_SSU_v5.0.tsv,5.0,914,1090,ok,2026-08-22T19:20:55
MGYS00005259,stool,SRP128128_taxonomy_abundances_SSU_v4.1.tsv,4.1,917,1213,ok,2026-08-22T19:21:10
MGYS00006389,respiratory,SRP340436_taxonomy_abundances_SSU_v5.0.tsv,5.0,894,1162,ok,2026-08-22T19:21:34
MGYS00005314,stool,SRP158570_taxonomy_abundances_SSU_v4.1.tsv,4.1,876,1460,ok,2026-08-22T19:21:37
MGYS00005158,urogenital,ERP012215_taxonomy_abundances_SSU_v4.1.tsv,4.1,737,1240,ok,2026-08-22T19:21:47
MGYS00005505,stool,SRP092421_taxonomy_abundances_SSU_v4.1.tsv,4.1,848,2261,ok,2026-08-22T19:21:55
MGYS00006345,respiratory,SRP271095_taxonomy_abundances_SSU_v5.0.tsv,5.0,844,940,ok,2026-08-22T19:22:10
MGYS00005239,stool,SRP043574_taxonomy_abundances_SSU_v4.1.tsv,4.1,837,2792,ok,2026-08-22T19:22:34
MGYS00005203,stool,ERP022127_taxonomy_abundances_SSU_v4.1.tsv,4.1,826,436,ok,2026-08-22T19:22:37
MGYS00001278,stool,ERP006059_taxonomy_abundances_SSU_v5.0.tsv,5.0,815,1083,ok,2026-08-22T19:22:47
MGYS00005198,stool,SRP181937_taxonomy_abundances_SSU_v4.1.tsv,4.1,801,1318,ok,2026-08-22T19:22:55
MGYS00005232,skin,ERP005182_taxonomy_abundances_SSU_v5.0.tsv,5.0,793,1399,ok,2026-08-22T19:23:11
MGYS00001748,stool,ERP005883_taxonomy_abundances_v3.0.tsv,3.0,1285,1269,ok,2026-08-22T19:23:34
MGYS00005223,oral,SRP126884_taxonomy_abundances_SSU_v4.1.tsv,4.1,767,1259,ok,2026-08-22T19:23:38
MGYS00006273,respiratory,ERP119164_taxonomy_abundances_SSU_v5.0.tsv,5.0,729,973,ok,2026-08-22T19:23:47
MGYS00005176,stool,SRP109293_taxonomy_abundances_SSU_v4.1.tsv,4.1,810,1260,ok,2026-08-22T19:23:55
MGYS00005340,stool,,,0,0,no_ssu_table,2026-08-22T19:24:10
MGYS00005506,oral,SRP115814_taxonomy_abundances_SSU_v4.1.tsv,4.1,722,949,ok,2026-08-22T19:24:11
MGYS00004729,respiratory,ERP020597_taxonomy_abundances_SSU_v4.1.tsv,4.1,1439,853,ok,2026-08-22T19:24:36
MGYS00006477,respiratory,SRP102480_taxonomy_abundances_SSU_v5.0.tsv,5.0,715,590,ok,2026-08-22T19:24:41
MGYS00001809,stool,ERP023432_taxonomy_abundances_v3.0.tsv,3.0,712,939,ok,2026-08-22T19:24:55
MGYS00005206,respiratory,ERP017440_taxonomy_abundances_SSU_v4.1.tsv,4.1,695,5798,ok,2026-08-22T19:25:10
MGYS00006759,stool,ERP146353_taxonomy_abundances_SSU_v5.0.tsv,5.0,692,538,ok,2026-08-22T19:25:13
MGYS00005384,skin,SRP049645_taxonomy_abundances_SSU_v4.1.tsv,4.1,673,2111,ok,2026-08-22T19:25:36
MGYS00005211,stool,SRP058088_taxonomy_abundances_SSU_v4.1.tsv,4.1,770,753,ok,2026-08-22T19:25:41
MGYS00001220,stool,SRP049113_taxonomy_abundances_v3.0.tsv,3.0,664,453,ok,2026-08-22T19:25:55
MGYS00005194,respiratory,ERP112757_taxonomy_abundances_SSU_v4.1.tsv,4.1,663,1823,ok,2026-08-22T19:26:10
MGYS00005212,skin,SRP071579_taxonomy_abundances_SSU_v4.1.tsv,4.1,644,1675,ok,2026-08-22T19:26:12
MGYS00001745,respiratory,ERP022836_taxonomy_abundances_v3.0.tsv,3.0,642,1274,ok,2026-08-22T19:26:36
MGYS00006530,respiratory,SRP184496_taxonomy_abundances_SSU_v5.0.tsv,5.0,525,554,ok,2026-08-22T19:26:41
MGYS00005261,respiratory,SRP127076_taxonomy_abundances_SSU_v5.0.tsv,5.0,631,739,ok,2026-08-22T19:26:55
MGYS00006472,respiratory,SRP110811_taxonomy_abundances_SSU_v5.0.tsv,5.0,328,1394,ok,2026-08-22T19:27:10
MGYS00005269,respiratory,ERP111364_taxonomy_abundances_SSU_v5.0.tsv,5.0,618,796,ok,2026-08-22T19:27:12
MGYS00005219,stool,SRP148278_taxonomy_abundances_SSU_v4.1.tsv,4.1,615,1885,ok,2026-08-22T19:27:36
MGYS00005253,oral,ERP108620_taxonomy_abundances_SSU_v5.0.tsv,5.0,606,678,ok,2026-08-22T19:27:41
MGYS00006478,respiratory,SRP102629_taxonomy_abundances_SSU_v5.0.tsv,5.0,584,706,ok,2026-08-22T19:27:55
MGYS00005533,skin,ERP016280_taxonomy_abundances_SSU_v4.1.tsv,4.1,584,6136,ok,2026-08-22T19:28:10
MGYS00006562,oral,ERP150486_taxonomy_abundances_SSU_v5.0.tsv,5.0,554,410,ok,2026-08-22T19:28:12
MGYS00006342,respiratory,SRP261392_taxonomy_abundances_SSU_v5.0.tsv,5.0,546,1242,ok,2026-08-22T19:28:36
MGYS00005531,urogenital,ERP013986_taxonomy_abundances_SSU_v4.1.tsv,4.1,541,1007,ok,2026-08-22T19:28:41
MGYS00002187,oral,SRP104798_taxonomy_abundances_SSU_v4.1.tsv,4.1,540,1026,ok,2026-08-22T19:28:55
MGYS00006248,respiratory,ERP124419_taxonomy_abundances_SSU_v5.0.tsv,5.0,540,779,ok,2026-08-22T19:29:10
MGYS00006442,respiratory,SRP168337_taxonomy_abundances_SSU_v5.0.tsv,5.0,535,845,ok,2026-08-22T19:29:12
MGYS00005189,oral,DRP004640_taxonomy_abundances_SSU_v4.1.tsv,4.1,530,2160,ok,2026-08-22T19:29:36
MGYS00005154,stool,ERP001500_taxonomy_abundances_SSU_v5.0.tsv,5.0,529,1845,ok,2026-08-22T19:29:41
MGYS00005238,skin,SRP051059_taxonomy_abundances_SSU_v4.1.tsv,4.1,487,1139,ok,2026-08-22T19:29:55
MGYS00005262,urogenital,SRP136173_taxonomy_abundances_SSU_v4.1.tsv,4.1,525,657,ok,2026-08-22T19:30:10
MGYS00005304,respiratory,SRP125205_taxonomy_abundances_SSU_v5.0.tsv,5.0,521,1291,ok,2026-08-22T19:30:12
MGYS00005528,oral,DRP004359_taxonomy_abundances_SSU_v4.1.tsv,4.1,506,562,ok,2026-08-22T19:30:36
MGYS00005383,skin,ERP116532_taxonomy_abundances_SSU_v4.1.tsv,4.1,503,235,ok,2026-08-22T19:30:41
MGYS00005234,stool,ERP006342_taxonomy_abundances_SSU_v5.0.tsv,5.0,502,928,ok,2026-08-22T19:30:55
MGYS00005167,respiratory,SRP108387_taxonomy_abundances_SSU_v4.1.tsv,4.1,494,1824,ok,2026-08-22T19:31:10
MGYS00005248,urogenital,SRP110729_taxonomy_abundances_SSU_v4.1.tsv,4.1,338,3333,ok,2026-08-22T19:31:12
MGYS00006263,oral,ERP110514_taxonomy_abundances_SSU_v5.0.tsv,5.0,489,668,ok,2026-08-22T19:31:36
MGYS00005235,stool,ERP010289_taxonomy_abundances_SSU_v4.1.tsv,4.1,459,852,ok,2026-08-22T19:31:41
MGYS00001701,urogenital,ERP022287_taxonomy_abundances_v3.0.tsv,3.0,487,1380,ok,2026-08-22T19:31:55
MGYS00005236,stool,ERP006339_taxonomy_abundances_SSU_v4.1.tsv,4.1,486,1004,ok,2026-08-22T19:32:10
MGYS00005221,respiratory,SRP131268_taxonomy_abundances_SSU_v4.1.tsv,4.1,481,1850,ok,2026-08-22T19:32:12
MGYS00006269,respiratory,,,0,0,no_ssu_table,2026-08-22T19:32:36
MGYS00006407,respiratory,SRP065072_taxonomy_abundances_SSU_v5.0.tsv,5.0,476,1032,ok,2026-08-22T19:32:36
MGYS00006322,respiratory,SRP040237_taxonomy_abundances_SSU_v5.0.tsv,5.0,447,327,ok,2026-08-22T19:32:47
MGYS00005159,stool,SRP062005_taxonomy_abundances_SSU_v4.1.tsv,4.1,430,1235,ok,2026-08-22T19:32:55
MGYS00006434,respiratory,ERP110351_taxonomy_abundances_SSU_v5.0.tsv,5.0,421,1114,ok,2026-08-22T19:33:11
MGYS00005247,stool,DRP003338_taxonomy_abundances_SSU_v4.1.tsv,4.1,268,590,ok,2026-08-22T19:33:34
MGYS00006355,respiratory,SRP289725_taxonomy_abundances_SSU_v5.0.tsv,5.0,428,915,ok,2026-08-22T19:33:37
MGYS00006524,respiratory,SRP201083_taxonomy_abundances_SSU_v5.0.tsv,5.0,408,897,ok,2026-08-22T19:33:48
MGYS00005379,skin,ERP116514_taxonomy_abundances_SSU_v5.0.tsv,5.0,15,77,ok,2026-08-22T19:33:56
MGYS00006260,respiratory,ERP110498_taxonomy_abundances_SSU_v5.0.tsv,5.0,378,793,ok,2026-08-22T19:34:11
MGYS00001189,stool,SRP073172_taxonomy_abundances_SSU_v5.0.tsv,5.0,408,915,ok,2026-08-22T19:34:34
MGYS00001799,stool,ERP005989_taxonomy_abundances_v3.0.tsv,3.0,400,1840,ok,2026-08-22T19:34:37
MGYS00002019,stool,ERP104039_taxonomy_abundances_SSU_v4.1.tsv,4.1,400,403,ok,2026-08-22T19:34:47
MGYS00006378,respiratory,SRP319422_taxonomy_abundances_SSU_v5.0.tsv,5.0,398,846,ok,2026-08-22T19:34:55
MGYS00001705,stool,ERP002061_taxonomy_abundances_v3.0.tsv,3.0,681,559,ok,2026-08-22T19:35:11
MGYS00003468,stool,ERP107929_taxonomy_abundances_SSU_v5.0.tsv,5.0,887,435,ok,2026-08-22T19:35:34
MGYS00005266,urogenital,SRP132490_taxonomy_abundances_SSU_v4.1.tsv,4.1,247,1381,ok,2026-08-22T19:35:37
MGYS00006320,oral,SRP039515_taxonomy_abundances_SSU_v5.0.tsv,5.0,392,760,ok,2026-08-22T19:35:47
MGYS00002425,stool,ERP106708_taxonomy_abundances_SSU_v5.0.tsv,5.0,347,136,ok,2026-08-22T19:35:55
MGYS00006408,respiratory,SRP065274_taxonomy_abundances_SSU_v5.0.tsv,5.0,369,846,ok,2026-08-22T19:36:11
MGYS00000314,stool,SRP008047_taxonomy_abundances_v1.0.tsv,1.0,124,86,ok,2026-08-22T19:36:34
MGYS00005285,stool,ERP112428_taxonomy_abundances_SSU_v4.1.tsv,4.1,439,307,ok,2026-08-22T19:36:37
MGYS00004728,stool,SRP057027_taxonomy_abundances_SSU_v4.1.tsv,4.1,362,1400,ok,2026-08-22T19:36:47
MGYS00006387,respiratory,SRP334144_taxonomy_abundances_SSU_v5.0.tsv,5.0,353,2819,ok,2026-08-22T19:36:55
MGYS00006520,respiratory,SRP200046_taxonomy_abundances_SSU_v5.0.tsv,5.0,352,880,ok,2026-08-22T19:37:11
MGYS00001255,stool,SRP068240_taxonomy_abundances_SSU_v5.0.tsv,5.0,694,1063,ok,2026-08-22T19:37:34
MGYS00006522,respiratory,SRP425510_taxonomy_abundances_SSU_v5.0.tsv,5.0,450,886,ok,2026-08-22T19:37:37
MGYS00006270,respiratory,ERP113122_taxonomy_abundances_SSU_v5.0.tsv,5.0,336,754,ok,2026-08-22T19:37:47
MGYS00002045,stool,ERP104209_taxonomy_abundances_SSU_v5.0.tsv,5.0,3,9,ok,2026-08-22T19:37:55
MGYS00001069,urogenital,SRP015828_taxonomy_abundances_v2.0.tsv,2.0,455,350,ok,2026-08-22T19:38:11
MGYS00006563,skin,ERP138314_taxonomy_abundances_SSU_v5.0.tsv,5.0,322,423,ok,2026-08-22T19:38:34
MGYS00006336,respiratory,SRP235175_taxonomy_abundances_SSU_v5.0.tsv,5.0,318,498,ok,2026-08-22T19:38:37
MGYS00002338,stool,ERP106359_taxonomy_abundances_SSU_v5.0.tsv,5.0,303,379,ok,2026-08-22T19:38:47
MGYS00006287,respiratory,ERP010734_taxonomy_abundances_SSU_v5.0.tsv,5.0,304,819,ok,2026-08-22T19:38:55
MGYS00005129,stool,ERP109659_taxonomy_abundances_SSU_v4.1.tsv,4.1,298,1559,ok,2026-08-22T19:39:11
MGYS00006461,respiratory,SRP077571_taxonomy_abundances_SSU_v5.0.tsv,5.0,298,996,ok,2026-08-22T19:39:34
MGYS00006285,respiratory,ERP110805_taxonomy_abundances_SSU_v5.0.tsv,5.0,294,1407,ok,2026-08-22T19:39:37
MGYS00005282,stool,,,0,0,no_ssu_table,2026-08-22T20:17:53
MGYS00005860,stool,,,0,0,no_ssu_table,2026-08-22T20:17:53
MGYS00005281,stool,ERP111902_taxonomy_abundances_SSU_v4.1.tsv,4.1,594,310,ok,2026-08-22T20:17:53
MGYS00001068,oral,ERP012926_taxonomy_abundances_SSU_v4.1.tsv,4.1,287,1884,ok,2026-08-22T20:17:54
MGYS00006122,stool,SRP023503_taxonomy_abundances_SSU_v5.0.tsv,5.0,283,357,ok,2026-08-22T20:17:55
MGYS00002357,oral,ERP001346_taxonomy_abundances_SSU_v4.1.tsv,4.1,278,407,ok,2026-08-22T20:17:56
MGYS00006341,respiratory,SRP252182_taxonomy_abundances_SSU_v5.0.tsv,5.0,273,1601,ok,2026-08-22T20:18:53
MGYS00001257,stool,SRP064846_taxonomy_abundances_v3.0.tsv,3.0,271,701,ok,2026-08-22T20:18:54
MGYS00001248,stool,SRP065497_taxonomy_abundances_v3.0.tsv,3.0,277,865,ok,2026-08-22T20:18:55
MGYS00006385,respiratory,SRP332755_taxonomy_abundances_SSU_v5.0.tsv,5.0,270,1152,ok,2026-08-22T20:18:55
MGYS00006386,respiratory,SRP333151_taxonomy_abundances_SSU_v5.0.tsv,5.0,269,567,ok,2026-08-22T20:18:56
MGYS00001444,stool,ERP021093_taxonomy_abundances_v3.0.tsv,3.0,268,1321,ok,2026-08-22T20:19:53
MGYS00001251,stool,SRP067629_taxonomy_abundances_v3.0.tsv,3.0,267,796,ok,2026-08-22T20:19:54
MGYS00006264,respiratory,ERP114687_taxonomy_abundances_SSU_v5.0.tsv,5.0,261,583,ok,2026-08-22T20:19:55
MGYS00005601,stool,ERP113090_taxonomy_abundances_SSU_v5.0.tsv,5.0,260,865,ok,2026-08-22T20:19:55
MGYS00003469,stool,ERP108254_taxonomy_abundances_SSU_v4.1.tsv,4.1,299,337,ok,2026-08-22T20:19:56
MGYS00000502,stool,ERP010229_taxonomy_abundances_v2.0.tsv,2.0,260,1741,ok,2026-08-22T20:20:53
MGYS00002072,skin,ERP019566_taxonomy_abundances_SSU_v4.0.tsv,4.0,258,3788,ok,2026-08-22T20:20:54
MGYS00002222,oral,SRP079702_taxonomy_abundances_SSU_v4.1.tsv,4.1,250,1298,ok,2026-08-22T20:20:55
MGYS00005375,stool,ERP114377_taxonomy_abundances_SSU_v4.1.tsv,4.1,249,329,ok,2026-08-22T20:20:56
MGYS00005376,stool,,,0,0,no_ssu_table,2026-08-22T20:20:56
MGYS00005791,stool,ERP127967_taxonomy_abundances_SSU_v5.0.tsv,5.0,245,279,ok,2026-08-22T20:21:52
MGYS00005338,stool,,,0,0,no_ssu_table,2026-08-22T20:21:54
MGYS00005792,stool,,,0,0,no_ssu_table,2026-08-22T20:21:54
MGYS00005333,stool,ERP108859_taxonomy_abundances_SSU_v5.0.tsv,5.0,244,323,ok,2026-08-22T20:21:54
MGYS00002154,oral,SRP075100_taxonomy_abundances_SSU_v4.1.tsv,4.1,238,1155,ok,2026-08-22T20:21:55
MGYS00006339,respiratory,SRP244353_taxonomy_abundances_SSU_v5.0.tsv,5.0,238,611,ok,2026-08-22T20:21:57
MGYS00006479,respiratory,SRP107087_taxonomy_abundances_SSU_v5.0.tsv,5.0,234,952,ok,2026-08-22T20:22:52
MGYS00006501,respiratory,,,0,0,no_ssu_table,2026-08-22T20:22:53
MGYS00006519,respiratory,SRP200043_taxonomy_abundances_SSU_v5.0.tsv,5.0,228,425,ok,2026-08-22T20:22:53
MGYS00002173,oral,SRP060310_taxonomy_abundances_SSU_v4.1.tsv,4.1,224,2002,ok,2026-08-22T20:22:55
MGYS00000335,urogenital,ERP003902_taxonomy_abundances_v1.0.tsv,1.0,222,57,ok,2026-08-22T20:22:56
MGYS00005382,stool,,,0,0,no_ssu_table,2026-08-22T20:22:57
MGYS00005381,stool,ERP116533_taxonomy_abundances_SSU_v4.1.tsv,4.1,242,452,ok,2026-08-22T20:23:52
MGYS00006463,respiratory,SRP079927_taxonomy_abundances_SSU_v5.0.tsv,5.0,222,561,ok,2026-08-22T20:23:53
MGYS00006760,stool,ERP148661_taxonomy_abundances_SSU_v5.0.tsv,5.0,218,357,ok,2026-08-22T20:23:54
MGYS00006013,stool,SRP328679_taxonomy_abundances_SSU_v5.0.tsv,5.0,212,1547,ok,2026-08-22T20:23:55
MGYS00005105,stool,,,0,0,download_failed,2026-08-22T20:23:56
MGYS00001194,stool,SRP075039_taxonomy_abundances_v3.0.tsv,3.0,210,703,ok,2026-08-22T20:25:13
MGYS00001186,stool,SRP070464_taxonomy_abundances_SSU_v4.1.tsv,4.1,314,3136,ok,2026-08-22T20:25:14
MGYS00002234,oral,SRP058027_taxonomy_abundances_SSU_v4.1.tsv,4.1,209,1456,ok,2026-08-22T20:25:15
MGYS00001818,skin,ERP022958_taxonomy_abundances_v3.0.tsv,3.0,204,2055,ok,2026-08-22T20:25:15
MGYS00006506,respiratory,SRP165913_taxonomy_abundances_SSU_v5.0.tsv,5.0,204,1716,ok,2026-08-22T20:25:55
MGYS00006409,respiratory,SRP066375_taxonomy_abundances_SSU_v5.0.tsv,5.0,203,754,ok,2026-08-22T20:26:04
MGYS00005755,stool,SRP173877_taxonomy_abundances_SSU_v5.0.tsv,5.0,202,1158,ok,2026-08-22T20:26:14
MGYS00006529,respiratory,SRP185921_taxonomy_abundances_SSU_v5.0.tsv,5.0,202,632,ok,2026-08-22T20:26:15
MGYS00006305,respiratory,ERP138360_taxonomy_abundances_SSU_v5.0.tsv,5.0,125,583,ok,2026-08-22T20:26:15
MGYS00006471,respiratory,SRP100740_taxonomy_abundances_SSU_v5.0.tsv,5.0,199,947,ok,2026-08-22T20:26:55
MGYS00006825,stool,ERP160132_taxonomy_abundances_SSU_v5.0.tsv,5.0,197,307,ok,2026-08-22T20:27:04
MGYS00001556,stool,ERP015450_taxonomy_abundances_v3.0.tsv,3.0,195,1747,ok,2026-08-22T20:27:13
MGYS00002400,oral,DRP003098_taxonomy_abundances_SSU_v4.1.tsv,4.1,194,775,ok,2026-08-22T20:27:14
MGYS00006499,respiratory,SRP125799_taxonomy_abundances_SSU_v5.0.tsv,5.0,188,474,ok,2026-08-22T20:27:15
MGYS00006262,respiratory,ERP015681_taxonomy_abundances_SSU_v5.0.tsv,5.0,192,520,ok,2026-08-22T20:27:55
MGYS00005218,stool,SRP152889_taxonomy_abundances_SSU_v4.1.tsv,4.1,766,2357,ok,2026-08-22T20:28:05
MGYS00001209,oral,ERP017054_taxonomy_abundances_v3.0.tsv,3.0,158,1097,ok,2026-08-22T20:28:14
MGYS00000605,skin,SRP056364_taxonomy_abundances_v2.0.tsv,2.0,191,859,ok,2026-08-22T20:28:14
MGYS00002961,stool,ERP110418_taxonomy_abundances_SSU_v4.1.tsv,4.1,842,1507,ok,2026-08-22T20:28:15
MGYS00006261,respiratory,ERP112293_taxonomy_abundances_SSU_v5.0.tsv,5.0,190,990,ok,2026-08-22T20:28:54
MGYS00006249,respiratory,ERP129795_taxonomy_abundances_SSU_v5.0.tsv,5.0,188,600,ok,2026-08-22T20:29:05
MGYS00005373,stool,ERP114461_taxonomy_abundances_SSU_v4.1.tsv,4.1,188,236,ok,2026-08-22T20:29:13
MGYS00005374,stool,,,0,0,no_ssu_table,2026-08-22T20:29:14
MGYS00006515,respiratory,SRP193985_taxonomy_abundances_SSU_v5.0.tsv,5.0,186,660,ok,2026-08-22T20:29:15
MGYS00006483,respiratory,SRP073159_taxonomy_abundances_SSU_v5.0.tsv,5.0,184,403,ok,2026-08-22T20:29:52
MGYS00006514,respiratory,SRP190506_taxonomy_abundances_SSU_v5.0.tsv,5.0,184,1574,ok,2026-08-22T20:29:58
MGYS00006288,respiratory,ERP136881_taxonomy_abundances_SSU_v5.0.tsv,5.0,184,990,ok,2026-08-22T20:30:13
MGYS00001985,stool,ERP104047_taxonomy_abundances_SSU_v5.0.tsv,5.0,219,415,ok,2026-08-22T20:30:15
MGYS00006481,respiratory,SRP108364_taxonomy_abundances_SSU_v5.0.tsv,5.0,183,398,ok,2026-08-22T20:30:16
MGYS00006485,respiratory,SRP077299_taxonomy_abundances_SSU_v5.0.tsv,5.0,182,1060,ok,2026-08-22T20:30:52
MGYS00006275,respiratory,ERP124015_taxonomy_abundances_SSU_v5.0.tsv,5.0,181,1318,ok,2026-08-22T20:30:58
MGYS00006454,respiratory,SRP378933_taxonomy_abundances_SSU_v5.0.tsv,5.0,181,1187,ok,2026-08-22T20:31:13
MGYS00006348,respiratory,SRP282889_taxonomy_abundances_SSU_v5.0.tsv,5.0,179,637,ok,2026-08-22T20:31:15
MGYS00005102,skin,ERP108413_taxonomy_abundances_SSU_v4.1.tsv,4.1,179,2025,ok,2026-08-22T20:31:16
MGYS00006120,stool,SRP115494_taxonomy_abundances_SSU_v5.0.tsv,5.0,176,683,ok,2026-08-22T20:55:11
MGYS00005386,skin,ERP116476_taxonomy_abundances_SSU_v4.1.tsv,4.1,175,207,ok,2026-08-22T20:55:11
MGYS00006797,stool,ERP147940_taxonomy_abundances_SSU_v5.0.tsv,5.0,175,345,ok,2026-08-22T20:55:12
MGYS00002396,oral,DRP002688_taxonomy_abundances_SSU_v4.1.tsv,4.1,170,472,ok,2026-08-22T20:55:13
MGYS00006531,respiratory,SRP314565_taxonomy_abundances_SSU_v5.0.tsv,5.0,32,140,ok,2026-08-22T20:55:14
MGYS00006272,respiratory,ERP117623_taxonomy_abundances_SSU_v5.0.tsv,5.0,168,441,ok,2026-08-22T20:56:10
MGYS00006368,respiratory,SRP043334_taxonomy_abundances_SSU_v5.0.tsv,5.0,146,451,ok,2026-08-22T20:56:12
MGYS00006220,stool,SRP347452_taxonomy_abundances_SSU_v5.0.tsv,5.0,167,564,ok,2026-08-22T20:56:13
MGYS00006451,respiratory,SRP247553_taxonomy_abundances_SSU_v5.0.tsv,5.0,167,629,ok,2026-08-22T20:56:13
MGYS00001803,stool,ERP022894_taxonomy_abundances_v3.0.tsv,3.0,167,497,ok,2026-08-22T20:56:14
MGYS00006452,respiratory,SRP072013_taxonomy_abundances_SSU_v5.0.tsv,5.0,165,482,ok,2026-08-22T20:57:10
MGYS00002216,stool,SRP013615_taxonomy_abundances_SSU_v4.1.tsv,4.1,162,558,ok,2026-08-22T20:57:12
MGYS00002256,oral,SRP035877_taxonomy_abundances_SSU_v4.1.tsv,4.1,161,462,ok,2026-08-22T20:57:18
MGYS00006527,respiratory,,,0,0,no_ssu_table,2026-08-22T20:57:18
MGYS00005592,oral,ERP119456_taxonomy_abundances_SSU_v5.0.tsv,5.0,160,887,ok,2026-08-22T20:57:19
MGYS00006364,oral,ERP134534_taxonomy_abundances_SSU_v5.0.tsv,5.0,160,233,ok,2026-08-22T20:57:19
MGYS00006495,respiratory,SRP119252_taxonomy_abundances_SSU_v5.0.tsv,5.0,159,930,ok,2026-08-22T20:58:10
