sample_id,study_accession,body_site,modality,source,pipeline
MGYS00000502:ERR866604,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866605,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866606,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866607,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866608,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866609,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866610,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866611,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866612,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866613,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866614,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866615,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866616,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866617,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866618,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866619,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866620,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866621,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866622,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866623,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866624,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866625,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866626,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866627,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866628,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866629,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866630,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
